"Resident ID","c_Resident","c_DoB","c_Current Age","c_Education","Location","Income","Customer ID","Name","Updated_Birthday","Updated_Age","Education Level","City","Purchase Date","Shopping List","Item List","Item A","Item B","Item C","Item D","Item E","Item F","Item G","Item H","Item I","Item J","Item K","Item L","Item M","Item N","Item O","Item P","Item Q","Item R","Item S","Item T","Item U"
258,"Coran","18/1/2008",17,"college","Cairns",43000,13,"Coran","18/1/2008",17,"college","Cairns","2024-1-6","['A', 'F', 'Q', 'S', 'U']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2965,"Aria","7/5/1986",38,"high-school","Toowoomba",558000,14,"Aria","7/5/1986",38,"high-school","Toowoomba","2023-5-26","['E', 'F', 'H', 'N', 'T', 'U']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
1769,"Quenion","18/4/2003",22,"junior college","Darwin",300000,15,"Quenion","18/4/2003",22,"junior college","Darwin","2023-8-4","['A', 'B', 'C', 'D', 'I', 'J', 'K', 'O', 'P', 'Q', 'T', 'U']","[1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1]",1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1
1359,"Kelius","10/6/1977",47,"college","Ballarat",255000,16,"Kelius","10/6/1977",47,"college","Ballarat","2024-1-24","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
773,"Magnus","14/5/1994",30,"junior college","Bendigo",454000,17,"Magnus","14/5/1994",30,"junior college","Bendigo","2024-9-5","['L', 'O', 'P', 'T']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
1941,"Fenis","17/8/1982",42,"high-school","Launceston",82000,18,"Fenis","17/8/1982",42,"high-school","Launceston","2023-1-7","['C', 'D', 'E', 'F', 'G', 'K', 'L', 'M', 'P', 'Q', 'R', 'S', 'T']","[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0
1735,"Coren","18/6/1988",36,"under high-school","Mackay",292000,19,"Coren","18/6/1988",36,"under high-school","Mackay","2023-7-25","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'N', 'O', 'P', 'Q', 'R', 'S', 'T']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2522,"Selus","8/3/2001",24,"junior college","Rockhampton",518000,20,"Selus","8/3/2001",24,"junior college","Rockhampton","2024-4-27","['L', 'N']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1145,"Valan","27/11/1996",28,"high-school","Bunbury",438000,21,"Valan","27/11/1996",28,"high-school","Bunbury","2024-8-1","['A', 'C', 'D', 'F', 'G', 'I', 'J', 'K', 'L', 'M', 'N', 'P', 'Q', 'T', 'U']","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]",1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
2684,"Malius","8/11/1981",43,"high-school","Bundaberg",572000,22,"Malius","8/11/1981",43,"high-school","Bundaberg","2024-1-28","['A', 'F', 'G', 'L', 'P', 'R', 'S', 'U']","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]",1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1224,"Periel","5/11/1983",41,"junior college","Coffs Harbour",72000,23,"Periel","5/11/1983",41,"junior college","Coffs Harbour","2023-6-15","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2620,"Belas","27/10/1982",42,"high-school","Wagga Wagga",224000,24,"Belas","27/10/1982",42,"high-school","Wagga Wagga","2024-4-15","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1880,"Niko","17/4/1975",50,"high-school","Hervey Bay",535000,25,"Niko","17/4/1975",50,"high-school","Hervey Bay","2024-1-1","['A', 'E', 'F', 'G', 'H', 'J', 'L', 'N', 'O', 'Q', 'R', 'T']","[1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0]",1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0
2740,"Coror","14/3/1997",28,"college","Mildura",85000,26,"Coror","14/3/1997",28,"college","Mildura","2023-11-7","['D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'Q', 'R', 'T', 'U']","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
751,"Belos","11/11/1977",47,"high-school","Gladstone",338000,27,"Belos","11/11/1977",47,"high-school","Gladstone","2025-3-31","['A', 'B', 'D', 'E', 'F', 'G', 'H', 'J', 'L', 'M', 'N', 'P', 'Q', 'S', 'T', 'U']","[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]",1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1
2094,"Danae","29/8/2007",17,"junior college","Shepparton",186000,28,"Danae","29/8/2007",17,"junior college","Shepparton","2024-4-4","['A', 'B', 'D', 'E', 'G', 'I', 'L', 'O', 'Q', 'S']","[1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
1270,"Peria","29/2/1996",29,"college","Port Macquarie",400000,29,"Peria","29/2/1996",29,"college","Port Macquarie","2024-5-12","['C', 'H', 'K']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
376,"Belae","11/11/1988",36,"college","Tamworth",268000,30,"Belae","11/11/1988",36,"college","Tamworth","2024-3-24","['C', 'D', 'G', 'N', 'P', 'Q']","[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2207,"Noras","2/8/2004",20,"junior college","Traralgon",522000,31,"Noras","2/8/2004",20,"junior college","Traralgon","2023-7-4","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
745,"Ison","7/1/1995",30,"junior college","Orange",212000,32,"Ison","7/1/1995",30,"junior college","Orange","2025-1-19","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'P', 'R', 'S', 'T', 'U']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
1284,"Janae","19/3/1997",28,"high-school","Geraldton",420000,33,"Janae","19/3/1997",28,"high-school","Geraldton","2023-12-6","['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'P', 'Q', 'S', 'T']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0]",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
423,"Sela","29/9/1995",29,"high-school","Bowral",390000,34,"Sela","29/9/1995",29,"high-school","Bowral","2023-12-1","['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J', 'K', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1256,"Ralas","10/6/1995",29,"under high-school","Dubbo",557000,35,"Ralas","10/6/1995",29,"under high-school","Dubbo","2023-8-31","['M', 'P', 'R', 'S', 'T']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
2188,"Fenion","18/1/1998",27,"junior college","Albany",79000,36,"Fenion","18/1/1998",27,"junior college","Albany","2025-2-26","['C', 'E', 'J', 'M', 'S']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2266,"Tora","9/9/2001",23,"under high-school","Bathurst",431000,37,"Tora","9/9/2001",23,"under high-school","Bathurst","2023-10-14","['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'K', 'L', 'M', 'N', 'P', 'S', 'T']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0]",1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0
2347,"Pia","27/6/1983",41,"college","Nowra",457000,38,"Pia","27/6/1983",41,"college","Nowra","2024-3-25","['B', 'F', 'G', 'I', 'J', 'K', 'L', 'N', 'P', 'Q', 'S', 'U']","[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]",0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1
404,"Janor","20/1/1987",38,"junior college","Warrnambool",232000,39,"Janor","20/1/1987",38,"junior college","Warrnambool","2023-12-2","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1475,"Phoenix","31/5/2005",19,"junior college","Kalgoorlie",98000,40,"Phoenix","31/5/2005",19,"junior college","Kalgoorlie","2024-9-22","['A', 'B', 'D', 'E', 'F', 'G', 'H', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
140,"Galius","22/11/1997",27,"high-school","Maryborough",47000,41,"Galius","22/11/1997",27,"high-school","Maryborough","2024-7-9","['A', 'B', 'C', 'E', 'F', 'G', 'H', 'J', 'L', 'M', 'O', 'R', 'U']","[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1]",1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1
1263,"Tora","28/7/2010",14,"master","Albury",298000,42,"Tora","28/7/2010",14,"master","Albury","2024-2-29","['B', 'D', 'F', 'G', 'I', 'L', 'M', 'O', 'U']","[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1
1494,"Elae","21/9/2003",21,"high-school","Mount Gambier",92000,43,"Elae","21/9/2003",21,"high-school","Mount Gambier","2023-6-26","['A', 'C', 'G', 'H', 'K', 'L', 'M']","[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
2897,"Norion","15/10/1988",36,"junior college","Devonport",110000,44,"Norion","15/10/1988",36,"junior college","Devonport","2024-7-24","['C', 'F', 'G', 'I', 'K', 'L', 'N', 'O', 'S', 'U']","[0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]",0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1
2253,"Loria","12/4/1982",43,"high-school","Armidale",210000,45,"Loria","12/4/1982",43,"high-school","Armidale","2023-3-9","['A', 'D', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'O', 'U']","[1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
1813,"Alec","15/9/1973",51,"college","Burnie",397000,46,"Alec","15/9/1973",51,"college","Burnie","2023-8-20","['N', 'R']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1734,"Lorius","12/9/1981",43,"junior college","Alice Springs",395000,47,"Lorius","12/9/1981",43,"junior college","Alice Springs","2023-1-21","['H', 'I', 'M', 'P', 'S']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
1603,"Jana","23/11/1979",45,"high-school","Queanbeyan",83000,48,"Jana","23/11/1979",45,"high-school","Queanbeyan","2024-9-28","['A', 'B', 'C', 'E', 'F', 'H', 'J', 'K', 'L', 'M', 'N', 'O', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1624,"Max","6/5/1973",51,"junior college","Lismore",315000,49,"Max","6/5/1973",51,"junior college","Lismore","2025-2-9","['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2950,"Orion","27/2/1977",48,"high-school","Nelson Bay",65000,50,"Orion","27/2/1977",48,"high-school","Nelson Bay","2023-1-20","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'M', 'N', 'O', 'P', 'Q', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
1341,"Kela","8/4/1993",32,"junior college","Goulburn",458000,51,"Kela","8/4/1993",32,"junior college","Goulburn","2024-7-3","['A', 'I', 'J']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2610,"Danus","18/7/1982",42,"junior college","Broome",274000,52,"Danus","18/7/1982",42,"junior college","Broome","2024-5-18","['B', 'D', 'F', 'G', 'I', 'M', 'N', 'O', 'Q', 'R', 'U']","[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1]",0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1
1240,"Galiel","12/1/1980",45,"junior college","Victor Harbor",223000,53,"Galiel","12/1/1980",45,"junior college","Victor Harbor","2025-2-20","['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1622,"Janan","11/2/2006",19,"junior college","Karratha",284000,54,"Janan","11/2/2006",19,"junior college","Karratha","2024-11-21","['A', 'C', 'D', 'H', 'J', 'K', 'O', 'P', 'S', 'U']","[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1]",1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1
1794,"Ralar","10/4/2006",19,"junior college","Katherine",557000,55,"Ralar","10/4/2006",19,"junior college","Katherine","2024-3-6","['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J', 'L', 'M', 'O', 'P', 'Q', 'R', 'T', 'U']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]",1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
2049,"Seleth","11/6/1993",31,"high-school","Whyalla",262000,56,"Seleth","11/6/1993",31,"high-school","Whyalla","2024-8-18","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'P', 'R', 'S', 'T', 'U']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
791,"Perus","20/8/2010",14,"under high-school","Emerald",273000,57,"Perus","20/8/2010",14,"under high-school","Emerald","2024-2-1","['D', 'I', 'K', 'M', 'P', 'Q', 'S']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0
2099,"Toryn","11/8/1977",47,"high-school","Esperance",88000,58,"Toryn","11/8/1977",47,"high-school","Esperance","2023-6-25","['E', 'F', 'I', 'K', 'P', 'Q', 'R', 'T', 'U']","[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1
2697,"Danor","16/8/2005",19,"master","Port Augusta",524000,59,"Danor","16/8/2005",19,"master","Port Augusta","2023-7-20","['C', 'G', 'J', 'P', 'Q', 'R', 'U']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1
2380,"Oror","15/7/2002",22,"college","Muswellbrook",277000,60,"Oror","15/7/2002",22,"college","Muswellbrook","2025-3-5","['A', 'C', 'D', 'H', 'I', 'K', 'L', 'N', 'R', 'S', 'T', 'U']","[1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]",1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1
1907,"Janan","26/7/1991",33,"under high-school","Forster",303000,61,"Janan","26/7/1991",33,"under high-school","Forster","2024-9-23","['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
