Customer ID,Name,Birthday,Age,Education Level,City,Purchase Date,Shopping List,Item List,Item A,Item B,Item C,Item D,Item E,Item F,Item G,Item H,Item I,Item J,Item K,Item L,Item M,Item N,Item O,Item P,Item Q,Item R,Item S,Item T,Item U
10,Halor,7-7-1999,23,college,Hobart,2024-6-2,"['I', 'T']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
11,Valon,14-12-2001,21,college,Geelong,2024-1-29,"['S', 'U']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,Corae,12/1/1980,43,college,Townsville,2023-8-14,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
13,Coran,18-1-2008,15,college,Cairns,2024-1-6,"['A', 'F', 'Q', 'S', 'U']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14,Aria,7-5-1986,36,high-school,Toowoomba,2023-5-26,"['E', 'F', 'H', 'N', 'T', 'U']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
15,Quenion,18-4-2003,20,junior college,Darwin,2023-8-4,"['A', 'B', 'C', 'D', 'I', 'J', 'K', 'O', 'P', 'Q', 'T', 'U']","[1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1]",1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1
16,Kelius,10-6-1977,45,college,Ballarat,2024-1-24,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,Magnus,14-5-1994,28,junior college,Bendigo,2024-9-5,"['L', 'O', 'P', 'T']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
18,Fenis,17-8-1982,40,high-school,Launceston,2023-1-7,"['C', 'D', 'E', 'F', 'G', 'K', 'L', 'M', 'P', 'Q', 'R', 'S', 'T']","[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0
19,Coren,18/6/1988,34,under high-school,Mackay,2023-7-25,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'N', 'O', 'P', 'Q', 'R', 'S', 'T']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
20,Selus,8-3-2001,22,junior college,Rockhampton,2024-4-27,"['L', 'N']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
21,Valan,27-11-1996,26,high-school,Bunbury,2024-8-1,"['A', 'C', 'D', 'F', 'G', 'I', 'J', 'K', 'L', 'M', 'N', 'P', 'Q', 'T', 'U']","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]",1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
22,Malius,8-11-1981,41,high-school,Bundaberg,2024-1-28,"['A', 'F', 'G', 'L', 'P', 'R', 'S', 'U']","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]",1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
23,Periel,5-11-1983,39,junior college,Coffs Harbour,2023-6-15,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,Belas,27-10-1982,40,high-school,Wagga Wagga,2024-4-15,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
25,Niko,17-4-1975,48,high-school,Hervey Bay,2024-1-1,"['A', 'E', 'F', 'G', 'H', 'J', 'L', 'N', 'O', 'Q', 'R', 'T']","[1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0]",1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0
26,Coror,14-3-1997,26,college,Mildura,2023-11-7,"['D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'Q', 'R', 'T', 'U']","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
27,Belos,11/11/1977,45,high-school,Gladstone,2025-3-31,"['A', 'B', 'D', 'E', 'F', 'G', 'H', 'J', 'L', 'M', 'N', 'P', 'Q', 'S', 'T', 'U']","[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]",1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1
28,Danae,29-8-2007,15,junior college,Shepparton,2024-4-4,"['A', 'B', 'D', 'E', 'G', 'I', 'L', 'O', 'Q', 'S']","[1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
29,Peria,29-2-1996,27,college,Port Macquarie,2024-5-12,"['C', 'H', 'K']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
30,Belae,11-11-1988,34,college,Tamworth,2024-3-24,"['C', 'D', 'G', 'N', 'P', 'Q']","[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
31,Noras,2-8-2004,18,junior college,Traralgon,2023-7-4,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,Ison,7-1-1995,28,junior college,Orange,2025-1-19,"['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'P', 'R', 'S', 'T', 'U']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
33,Janae,19-3-1997,26,high-school,Geraldton,2023-12-6,"['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'P', 'Q', 'S', 'T']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0]",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
34,Sela,29-9-1995,27,high-school,Bowral,2023-12-1,"['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J', 'K', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
35,Ralas,10/6/1995,27,under high-school,Dubbo,2023-8-31,"['M', 'P', 'R', 'S', 'T']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
36,Fenion,18/1/1998,25,junior college,Albany,2025-2-26,"['C', 'E', 'J', 'M', 'S']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
37,Tora,9-9-2001,21,under high-school,Bathurst,2023-10-14,"['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'K', 'L', 'M', 'N', 'P', 'S', 'T']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0]",1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0
38,Pia,27-6-1983,39,college,Nowra,2024-3-25,"['B', 'F', 'G', 'I', 'J', 'K', 'L', 'N', 'P', 'Q', 'S', 'U']","[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]",0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1
39,Janor,20-1-1987,36,junior college,Warrnambool,2023-12-2,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,Phoenix,31-5-2005,17,junior college,Kalgoorlie,2024-9-22,"['A', 'B', 'D', 'E', 'F', 'G', 'H', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
41,Galius,22-11-1997,25,high-school,Maryborough,2024-7-9,"['A', 'B', 'C', 'E', 'F', 'G', 'H', 'J', 'L', 'M', 'O', 'R', 'U']","[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1]",1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1
42,Tora,28-7-2010,12,master,Albury,2024-2-29,"['B', 'D', 'F', 'G', 'I', 'L', 'M', 'O', 'U']","[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1
43,Elae,21-9-2003,19,high-school,Mount Gambier,2023-6-26,"['A', 'C', 'G', 'H', 'K', 'L', 'M']","[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
44,Norion,15-10-1988,34,junior college,Devonport,2024-7-24,"['C', 'F', 'G', 'I', 'K', 'L', 'N', 'O', 'S', 'U']","[0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]",0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1
45,Loria,12-4-1982,41,high-school,Armidale,2023-3-9,"['A', 'D', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'O', 'U']","[1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
46,Alec,15/9/1973,49,college,Burnie,2023-8-20,"['N', 'R']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
47,Lorius,12-9-1981,41,junior college,Alice Springs,2023-1-21,"['H', 'I', 'M', 'P', 'S']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
48,Jana,23/11/1979,43,high-school,Queanbeyan,2024-9-28,"['A', 'B', 'C', 'E', 'F', 'H', 'J', 'K', 'L', 'M', 'N', 'O', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1
49,Max,6-5-1973,49,junior college,Lismore,2025-2-9,"['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
50,Orion,27-2-1977,46,high-school,Nelson Bay,2023-1-20,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'M', 'N', 'O', 'P', 'Q', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
51,Kela,8/4/1993,30,junior college,Goulburn,2024-7-3,"['A', 'I', 'J']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
52,Danus,18-7-1982,40,junior college,Broome,2024-5-18,"['B', 'D', 'F', 'G', 'I', 'M', 'N', 'O', 'Q', 'R', 'U']","[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1]",0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1
53,Galiel,12/1/1980,43,junior college,Victor Harbor,2025-2-20,"['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,Janan,11/2/2006,17,junior college,Karratha,2024-11-21,"['A', 'C', 'D', 'H', 'J', 'K', 'O', 'P', 'S', 'U']","[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1]",1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1
55,Ralar,10-4-2006,17,junior college,Katherine,2024-3-6,"['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J', 'L', 'M', 'O', 'P', 'Q', 'R', 'T', 'U']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]",1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
56,Seleth,11-6-1993,29,high-school,Whyalla,2024-8-18,"['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'P', 'R', 'S', 'T', 'U']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
57,Perus,20/8/2010,12,under high-school,Emerald,2024-2-1,"['D', 'I', 'K', 'M', 'P', 'Q', 'S']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0
58,Toryn,11/8/1977,45,high-school,Esperance,2023-6-25,"['E', 'F', 'I', 'K', 'P', 'Q', 'R', 'T', 'U']","[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1
59,Danor,16/8/2005,17,master,Port Augusta,2023-7-20,"['C', 'G', 'J', 'P', 'Q', 'R', 'U']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1
60,Oror,15/7/2002,20,college,Muswellbrook,2025-3-5,"['A', 'C', 'D', 'H', 'I', 'K', 'L', 'N', 'R', 'S', 'T', 'U']","[1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]",1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1
61,Janan,26-7-1991,31,under high-school,Forster,2024-9-23,"['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,Kelia,24-12-1999,23,junior college,Grafton,2024-10-19,"['D', 'E', 'F', 'G', 'J', 'L', 'M', 'N', 'O', 'R', 'S', 'T']","[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]",0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0
63,Loryn,11/6/1980,42,college,Mudgee,2024-5-23,"['E', 'S', 'U']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,Beliel,26/4/2009,14,college,Port Hedland,2023-8-1,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,Quenan,7/4/2000,23,high-school,Warwick,2024-5-13,"['B', 'D', 'E', 'F', 'G', 'H', 'K', 'L', 'N', 'O', 'P', 'Q', 'S', 'T', 'U']","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1]",0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1
66,Janan,13-11-1979,43,master,Inverell,2023-10-25,"['N', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
67,Janon,7-10-1999,23,high-school,Parkes,2023-6-15,"['C', 'D', 'E', 'G', 'H', 'J', 'K', 'L', 'N', 'O', 'S', 'U']","[0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]",0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1
68,Halus,18-2-2003,20,high-school,Sale,2024-4-24,"['C', 'E', 'F', 'H', 'I', 'L', 'N', 'T', 'U']","[0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]",0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1
69,Ralae,4/8/2004,18,under high-school,Narrabri,2023-6-20,"['A', 'B', 'D', 'E', 'F', 'G', 'H', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
70,Danyn,31-12-2003,19,college,Kempsey,2023-6-3,['R'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,Toria,11-10-1973,49,junior college,Taree,2023-11-3,['R'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,Nova,1-4-1984,39,master,Yeppoon,2024-7-23,"['B', 'F', 'I', 'J', 'K', 'L', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
